Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2P4OICZRVAQcYAV2JReRfj,"Waiting For Love","Stories","Avicii",2015-10-02,230613,81,false,joeynoord,2025-11-10T20:19:54Z,"edm","Pophouse Entertainment Group",0.579,0.736,6,-3.863,0,0.0527,0.31,0,0.198,0.613,127.999,4
spotify:track:6eN1f9KNmiWEhpE2RhQqB5,"Paradise City","Appetite For Destruction","Guns N' Roses",1987-07-21,405600,82,false,joeynoord,2025-11-10T20:20:01Z,"rock,glam-metal,hardrock,classic rock","Guns N Roses P&D",0.268,0.98,11,-5.959,1,0.101,0.019,0.00692,0.182,0.39,100.316,4
spotify:track:3vkQ5DAB1qQMYO4Mr9zJN6,"Gimme! Gimme! Gimme! (A Man After Midnight)","Voulez-Vous","ABBA",1979,292613,82,false,joeynoord,2025-11-10T20:20:14Z,"","Polar Music International AB",0.749,0.491,10,-9.655,1,0.0403,0.02,0.00899,0.159,0.536,119.528,4
spotify:track:7lQ8MOhq6IN2w8EYcFNSUk,"Without Me","The Eminem Show","Eminem",2002-05-26,290320,87,true,joeynoord,2025-11-10T20:21:40Z,"rap,hiphop","Eminem Catalog PS",0.908,0.669,7,-2.827,1,0.0738,0.00286,0,0.237,0.662,112.238,4
spotify:track:50nfwKoDiSYg8zOCREWAm5,"Shivers","=","Ed Sheeran",2021-10-25,207853,82,false,joeynoord,2025-11-10T20:22:03Z,"soft pop","Atlantic Records UK",0.788,0.859,2,-2.724,1,0.0856,0.281,0,0.0424,0.822,141.02,4
spotify:track:47crdP8evgni5WiTUVr5Pe,"Het Pizzalied","Tijdloos","André van Duin",2012-02-17,181506,37,false,joeynoord,2025-11-10T20:22:09Z,"hollands,nederpop","CNR Music",0.732,0.856,6,-8.651,0,0.207,0.085,0,0.221,0.356,120.032,4
spotify:track:7kOiUhPjCsl4OZZPgaz1WQ,"Vlieg Met Me Mee - Live 1992","Van U Wil Ik Zingen","Paul de Leeuw",1992-01-01,312080,38,false,joeynoord,2025-11-10T20:22:34Z,"nederpop,hollands","CTM / Tribe Music",0.503,0.687,0,-7.421,1,0.118,0.429,0,0.92,0.489,88.367,4
spotify:track:1MWpdDDf3Yk0w6o4oviMFY,"Als Het Avond Is","Gedeeld Door Ons","Suzan & Freek",2019-09-27,205714,60,false,joeynoord,2025-11-10T20:23:32Z,"nederpop,hollands","Sony Music Entertainment",0.725,0.47,11,-7.215,1,0.0301,0.528,0,0.113,0.45,104.984,4
spotify:track:00tDSqUMjyOICNNmQSBE8w,"Deze Nacht (All Night Long)","Deze Nacht (All Night Long)","Thijs Boontjes",2020-02-10,243005,55,false,joeynoord,2025-11-10T20:23:41Z,"nederpop,hollands","Excelsior Recordings",0.762,0.548,10,-8.586,0,0.0469,0.193,0.000338,0.0818,0.82,115.026,4
spotify:track:0xhWYqbieArhuGsYn9ADzF,"Tijdmachine","Rock & Roll","Dio;Sef",2009-01-01,223440,54,false,joeynoord,2025-11-10T20:26:44Z,"nederpop,hollands","Top Notch Music BV",0.831,0.812,8,-3.632,0,0.378,0.114,0,0.0901,0.64,97.961,4
